id,titulo,descricao,status,data
133,Nome no SPC,"Meu nome está no SPC já tem 1 mês como no meu endereço tem 3 instalações, 1 no meu nome e duas no nome do meu marido, e a do meu m",Respondida,Há 2 dias
134,Oscilação de Luz,Sou proprietária do imóvel e no prédio tem 4 relógios no qual em um a energia está no nome do meu marido Gilmar Garcia Gonçalves c,Não respondida,Há 2 dias
135,Cortaram minha luz cobrança [Editado pelo Reclame Aqui],"Cortaram minha luz por duas vezes com a conta paga, estão me cobrando uma conta de mês 11/2023 a conta foi paga por pix e eu já li",Não respondida,Há 2 dias
136,Dano no celular - Limitações nas opções de ressarcimento de eletros,"Entre 2h30 da manhã e 3h30, houveram algumas quedas de energia, presenciei 3 quedas pois estava assistindo TV, ambas levaram pouco",Respondida,Há 2 dias
137,Light [Editado pelo Reclame Aqui] o consumidor pagante,"No dia 30 de janeiro de 2024, a light interrompeu o fornecimento indevidamente do meu apartamento. Sem qualquer aviso ou justifica",Respondida,Há 2 dias
138,Falta de energia constante.,Sou morador da cidade de Paracambi RJ e venho por meio desta deixar minha indignação devido às constantes falta de energia na cida,Respondida,Há 2 dias
139,Consumo alteração,"É impossível que minha conta de luz do mês de dezembro e janeiro estejam no valores de 720,31 e 420,00, pois meus consumos são sem",Respondida,Há 2 dias
140,Ameaça de colocação do nome no serasa,"Ainda não fez um mês que a minha conta atrasou eles já estão me comunicando que irão negativar o meu nome, colocando o meu nome n",Respondida,Há 2 dias
141,ESTOU SEM LUZ DESDE O DIA 16/01/24,"Ja entrei em contato com a ouvidoria, eneel e nada resolveram. estou sem luz em minha residência desde o dia 16/01/24 . a ouvidori",Respondida,Há 2 dias
142,Conta Caríssima e Atendimento Ruim,"Por volta do dia 20 de janeiro, A conta com vencimento para o mês de fevereiro, veio com o valor cerca de 5/6 vezes o valor habitu",Respondida,Há 2 dias
143,Contas abusivas e dano de equipamento,Já há alguns meses venho realizando reclamações recorrentes junto a Light por conta de consumo acima do valor. Ocorre que eles sem,Respondida,Há 2 dias
144,Divergência na medição,Venho por meio desta informar que o senhor marcador de luz esteve no dia 29/01/2024 fazendo a marcação e o mesmo não ágil de boa f,N/A,Há 2 dias
145,Cobrança [Editado pelo Reclame Aqui] e Conta paga,Venho requerer a esta companhia de energia Eletrica retire da minha conta o Art 323 - FAT sendo cobrado de maneira vexatória pois,Respondida,Há 2 dias
146,Cobrança [Editado pelo Reclame Aqui],"Fiz um acompanhamento e observei que de acordo com o meu histórico de consumo, a light em janeiro de 2024 cobrou um valor absurdo",Respondida,Há 2 dias
147,COBRANÇA [Editado pelo Reclame Aqui] - MEDIDOR COM ESTIMATIVA DE LEITURA ABSURDA!!,"Estou reclamando de um conta absurda que a cada mês é uma surpresa, onde um mês diz que não tive consumo e geração alguma e no out",Respondida,Há 2 dias
148,"Bairro de cavalcante rj abandonado pela light, quedas de luz do nada","Sou morador de cavalcante rj e desde o verão do ano passado a rede eletrica da região virou uma piada, quedas de luz constantes no",Respondida,Há 2 dias
149,Cobrança absurda,"Boa tarde a Light enviou segundo fui informada por telefone informações para meu email no qual não estou conseguindo acesso, gost",Respondida,Há 2 dias
150,Light,"Boa tarde! Venho por meio desta reclamar dos serviços da light, a mesma no dia 14/01/2024 mexeu na caixa de luz do poste e desde e",Respondida,Há 2 dias
151,Demora no atendimento,"Fiz uma reclamação com a emergência da light, pois os dois cabos positivos que vem do poste da light, para o meu, estão quase enco",Respondida,Há 2 dias
152,Nao existe fale conosco na agência virtual,"Tive minha conta juntada por um erro da própria light , que nao sei como ( conseguiram fazer isso) passaram nome de meu vizinho na",Não respondida,Há 2 dias
153,Fio cortado do poste até a minha casa e a Light,"Eu tenho três fases na minha casa. Mas, desde que comprei o meu imóvel no ano passado eu tenho vivido com apenas duas fases, pois",Respondida,Há 2 dias
154,Transformado,Estamos com um transformador na rua instalação mal colocado Rua Silva Cardoso 172 em frente a superlar de bangu,Não respondida,Há 2 dias
155,Funcionários vieram fazer instalações de relógio compraram comida e não pagaram,Dois de alguns funcionários que fizeram instalação na santa Maura 190 compraram comida e não pagaram o valor total do pedido.,Não respondida,Há 2 dias
156,Light não resolve problemas de fase,"Estamos com problema de fase no predio da ******* em Vaz lobo (21361-090) há DIAS. DIIIIIIIIIIIIAS! Eletrodomésticos já pifaram, q",Respondida,Há 2 dias
157,Falta de Luz Ilha do governador (3),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de luz.,Respondida,Há 2 dias
158,"Falta de luz na Rua Moura Brito, Tijuca devido a um problema num transformador. Moradores reclamando há quase 48 horas sem atendimento.","Defeitos reincidentes no transformador da Rua Moura Brito, na Tijuca, deixam moradores sem luz há quase 48 horas. Apesar das recla",Respondida,Há 2 dias
159,Site não funciona,Entrei no site para gerar um pedido de emergência e quando manda registrar dá erro de erro server assim fica difícil. Mais na h,Respondida,Há 2 dias
160,Problemas na conta de luz,"Minha conta estava vindo todos os meses um valor, constando na conta que estava sendo cobrado o consumo por LEITURA ESTIMADA. Agor",Respondida,Há 2 dias
